Location ZIP [Public School] 2011-12,School Name,ScriptEd,NAF/DOE,CTE,MOUSE,CSNYC,Bootstrap,SGD,SEP,TEALS,ECS,ASE,C/I,AP CS A,Club,Charter,CS Courses?,Address,Website,County,City,Lowest Grade Offered,Highest Grade Offered,Total Students 9th-12th [DOE 2013-14],9th Grade,10th Grade,11th Grade,12th Grade,Free Lunch % (Inside Schools),Free & Reduced Lunch (NCES  2011-12/2012-13),% eligible for free or reduced lunch (DOE 2013-14)
10023,HIGH SCHOOL OF ARTS AND TECHNOLOGY,,,,YES,,,,,,,,,,,,MOUSE Squad; students run their own mock businesses,"122 Amsterdam Avenue, New York, NY 10023",http://www.hsartstech.org/,,MANHATTAN,9th Grade,12th Grade,588,177,124,164,123,,,91.2%
10467,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,,,YES,,,,,,,,,,,,,CTE Computer Training Certifications; MOUSE Squad,"800 EAST GUN HILL ROAD, Bronx NY 10467",http://insideschools.org/component/schools/school/522,,BRONX,9th Grade,12th Grade,556,188,165,101,102,,,100.0%
10006,HIGH SCHOOL OF ECONOMICS AND FINANCE,,YES,YES,,,,,,,,,,,,,Paid and Unpaid internships; business plans; professional experience focus,"100 Trinity Place, Manhattan NY 10006",http://insideschools.org/component/schools/school/98,,MANHATTAN,9th Grade,12th Grade,767,240,202,191,134,,,78.4%
10019,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,,,,,,,,,,,,,,,,Special courses on hotels/restaurants,"525 WEST 50TH STREET, Manhattan NY 10019",http://insideschools.org/component/schools/school/74,,MANHATTAN,9th Grade,12th Grade,431,133,113,102,83,,,91.6%
10469,High School of Language and Innovation,,,,,YES,,,,,,,,,,,None,"925 Astor Avenue, Bronx, NY 10469",http://insideschools.org/component/schools/school/1734,,Bronx,9th Grade,12th Grade,255,94,104,57,0,,,97.6%
11214,HIGH SCHOOL OF SPORTS MANAGEMENT,,,,,,,,,,,,,,,,None; Sports-focused,"2630 Benson Avenue, Brooklyn, NY 11214",http://insideschools.org/component/schools/school/896,,BROOKLYN,9th Grade,12th Grade,323,91,81,91,60,,,80.2%
11220,High School of Telecommunication Arts and Technology,,,,,YES,,,YES,,,,,,,,None,"350 67th Street, Brooklyn, NY 11220",http://insideschools.org/component/schools/school/864,,Brooklyn,9th Grade,12th Grade,1313,362,346,373,232,,,80.2%
10472,HIGH SCHOOL OF WORLD CULTURES,,,,,,,,,,,,,,,,None; takes most students more than 4 years to graduate,"1300 Boynton Avenue, Bronx, NY 10472",http://insideschools.org/component/schools/school/575,,BRONX,9th Grade,12th Grade,388,97,150,99,42,,,95.6%
11432,HILLCREST HIGH SCHOOL,,,YES,,YES,,,,,YES,,,,,,Computer Science A Course,"160-05 HIGHLAND AVENUE, Queens NY 11432","http://www.hillcrestweb.com/
http://insideschools.org/component/schools/school/1183",,Queens,9th Grade,12th Grade,3231,975,809,683,764,,,79.5%
10459,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,,,,,,,,,,,,,,,,Unclear; good learning environment,"965 Longwood, Bronx NY",http://insideschools.org/component/schools/school/1383?Itemid=64,,BRONX,9th Grade,12th Grade,261,37,69,79,76,,,91.6%
11203,HOSTOS-LINCOLN ACADEMY OF SCIENCE,,,,,,,,,,,,,,YES,,High-achievers from the Bronx; Science Club; Computer Lab after school,600 ST ANN'S AVE,http://insideschools.org/component/schools/school/291,BRONX COUNTY,BRONX,6th Grade,12th Grade,343,101,95,71,76,,,77.3%
10474,HYDE LEADERSHIP CHARTER SCHOOL,,,,,,,,,,,,YES,,,YES,C/I offered; K-12 schools; high school housed in separate building,830 Hunts Point Ave,http://www.hydebronxny.org/,,BRONX,Kindergarten,12th Grade,957*,,,,,,94.4%,
11214,INDEPENDENCE HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear; Transfer school for older students,850 10TH AVE,http://insideschools.org/component/schools/school/1323,NEW YORK COUNTY,NEW YORK,10th Grade,12th Grade,328,0,86,91,151,,,82.0%
11101,INFORMATION TECHNOLOGY HIGH SCHOOL,,,YES,,,,,,,,,,,,,"CTE: Web Design, Apple Academy, Cisco Academy","21-16 44th Road, Long Island City, NY 11101",http://ithsnyc.org/2013/home,,Queens,9th Grade,12th Grade,920,249,252,198,221,,,81.2%
10024,INNOVATION DIPLOMA PLUS,,,,,,,,,,,,,,,,"Unclear; Older, transfer school","145 West 84 Street, Manhattan NY 10024",http://insideschools.org/component/schools/school/1599,,MANHATTAN,9th Grade,12th Grade,192,8,80,63,41,,,77.1%
11411,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHTS,,,YES,,,,,,,,,,,,,Degrees: EMT or Nursing,"207- 01 116TH AVENUE, Queens NY 11411",http://insideschools.org/component/schools/school/8253,,Queens,9th Grade,10th,82,82,0,0,0,,,79.3%
10463,In-Tech Academy (M.S. / High School 368),,,YES,YES,,,,,,,,,,,,MOUSE and Robotics,"2975 Tibbett Ave, Bronx NY, 10463",http://schools.nyc.gov/SchoolPortals/10/X368/Academics/CTE/default.htm,,BRONX,6th Grade,12th Grade,580,171,186,113,110,,,89.1%
10454,INTERNATIONAL COMMUNITY HIGH SCHOOL,,,,,YES,,,,,YES,,,,,,"Unclear, rough neighborhood","345 Brook Avenue, Bronx, NY 10454",http://insideschools.org/component/schools/school/1382,,BRONX,9th Grade,12th Grade,437,105,126,116,90,,,93.1%
11101,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,,,,,,,,,,,,,,,,None; project-based instruction for ELL students,2630 BENSON AVE,http://www.inths.org/,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,345,78,83,102,82,,,91.0%
11101,International High School at LaGuardia Community College,,,,,,,,,,,,,,,,Computer Science A offered (AP); for students in the US <4 years,"45-35 Van Dam Street, Long Island City, NY 11101","http://ihsnyc.org/
http://insideschools.org/component/schools/school/1029",,Queens,9th Grade,12th Grade,503,111,108,124,160,,,100.0%
10463,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,,,,,,,,,,,,,,,,None; part of international HSs network,883 CLASSON AVE,http://insideschools.org/component/schools/school/758,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,421,103,101,111,106,,,100.0%
11432,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,,,,YES,,,,,,,,,,,,MOUSE squad,40 IRVING PLACE,http://insideschools.org/component/schools/school/1662,NEW YORK COUNTY,NEW YORK,9th Grade,11th Grade,339,73,102,77,87,,,87.3%
11373,INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES,,YES,YES,,,,,,,,,,,,,ELL focus,"48-01 90 St, Queens NY 11373",http://insideschools.org/component/schools/school/8247,,Queens,9th Grade,10th,50,50,0,0,0,,,100.0%
10463,INTERNATIONAL LEADERSHIP CHARTER SCHOOL,,,,,,,,,,,,,,,YES,High attrition rate,2900 EXTERIOR STSTE 1R,http://insideschools.org/component/schools/school/1355?Itemid=64,,BRONX,9th Grade,12th Grade,303,,,,,,99.0%,
10468,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,,,,,,,,,,,,,,,,Unclear: 718-329-8570,"2780 Reservoir Avenue, Bronx, NY 10468",http://www.islaschool.org/,,BRONX,6th Grade,12th Grade,381,90,105,86,100,,,97.8%
11203,IT TAKES A VILLAGE ACADEMY,,,,,,,,,,,,,,,,Computer Science A Course; G-12 Tech Program with NYU,"5800 TILDEN AVENUE, Brooklyn NY 11203","http://itava.org/
http://insideschools.org/component/schools/school/1481",,BROOKLYN,9th Grade,12th Grade,513,149,146,127,91,,,83.6%
10036,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,,YES,YES,,,,,,,,,,,,,None,"120 WEST 46 STREET, Manhattan NY 10026",http://insideschools.org/component/schools/school/102,,MANHATTAN,9th Grade,12th Grade,709,233,155,167,154,,,77.9%
10463,JAMAICA GATEWAY TO THE SCIENCES,,,,,,,,,,,,,,,,Computer Programming class offered,16701 GOTHIC DR,http://www.jamaicagateway.org/,QUEENS COUNTY,JAMAICA,9th Grade,12th Grade,396,132,117,127,20,,,79.8%
10456,JILL CHAIFETZ TRANSFER HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear; Transfer school; older students; offers LTW program,"778 FOREST AVENUE, BRONX NY 10456",http://insideschools.org/component/schools/school/1489?Itemid=64,,BRONX,9th Grade,12th Grade,184,17,75,61,31,,,100.0%
11417,JOHN ADAMS HIGH SCHOOL,,,YES,,,,,,,,,,,,,None,"101-01 ROCKAWAY BOULEVARD, Queens, NY 11417",http://insideschools.org/component/schools/school/1151,,Queens,9th Grade,12th Grade,2838,798,698,707,635,,,86.3%
11223,JOHN DEWEY HIGH SCHOOL,,YES,YES,,,,,,,,,,YES,,,Future remains uncertain,"50 Avenue X, Brooklyn NY 11223",http://insideschools.org/component/schools/school/900,,BROOKLYN,9th Grade,12th Grade,1937,506,523,370,538,,,82.7%
10474,JOHN V. LINDSAY WILDCAT ACADEMY CHARTER SCHOOL,,,,,,,,,,,,,,,YES,Unclear; culinary focus,"1231 Lafayette Avenue, Bronx 10474",http://insideschools.org/component/schools/school/1280,,Manhattan,9th Grade,12th Grade,525,,,,,77.0%,,
10311,JOHN W LAVELLE PREPARATORY CHARTER SCHOOL,,,,,,,,,,,,,,,YES,Unclear,1 CORPORATE COMMONS1 TELEPORT,http://insideschools.org/component/schools/school/1652,,STATEN ISLAND,6th Grade,11th Grade,383*,,,,,,81.6%,
11206,JUAN MOREL CAMPOS SECONDARY SCHOOL,,,,,,,,,,,,,,,,"Business Tech - design their own websites; 
Computer Technology application training; homeless/ELL/special needs","215 Heyward Street, Brooklyn, NY 11206",https://sites.google.com/a/juanmorelcampos.com/technology-jmcss/,,BROOKLYN,6th Grade,12th Grade,423,102,106,94,121,,,100.0%
11214,KHALIL GIBRAN INTERNATIONAL ACADEMY,,,,,,,,,,,,,,,,None,326 SCHERMERHORN ST,http://insideschools.org/component/schools/school/1499?Itemid=64,KINGS COUNTY,BROOKLYN,8th Grade,9th Grade,96,45,51,0,0,,,100.0%
10006,KINGSBOROUGH EARLY COLLEGE SCHOOL,,,,,,,,,,,,,,,,None; students may get 2 years' college credit,2630 BENSON AVE,http://insideschools.org/component/schools/school/1342,KINGS COUNTY,BROOKLYN,6th Grade,12th Grade,330,93,89,76,72,,,74.6%
10468,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,,,,,,,,,,,,,,,,Intensive immigrant school; no tech,"2780 Reservoir Avenue, Bronx, NY 10468",http://www.kingsbridgeinternational.org/home.aspx,,BRONX,9th Grade,12th Grade,443,88,111,111,133,,,97.1%
10451,KIPP NYC College Prep,,,,,,,,,YES,,,,,,YES,KIPP middle schoolers encouraged to go here; TEALS offered,"201 East 144th Street, Bronx, NY 10451",http://www.kippnyc.org/schools/kipp-nyc-college-prep/,,BRONX,9th Grade,12th Grade,914,,,,,,87.0%,
10458,Knowledge and Power Preparatory Academy International High School (Kappa),,,,,,,,,,,,,,,,None; part of Theodore Roosevelt Ed complex (6 schools),"500 East Fordham Road, Bronx, NY 10458",http://www.kappainternational.org/,,BRONX,9th Grade,12th Grade,467,143,153,90,81,,,88.9%
10002,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,,,,,,,,,,,,,,,,None,5800 TILDEN AVE,http://www.kurthahnschool.org/,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,288,76,82,73,57,,,83.3%
10011,LANDMARK HIGH SCHOOL,,,,,,,,,,,,,,,,None; progressive teaching styles,"351 West 18th Street, New York, NY 10011",http://www.landmarkhs.org/pd/02M419/index.html,,MANHATTAN,9th Grade,12th Grade,396,113,114,85,84,,,88.1%
10006,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,,,,,,,,,,,,,,,,None; partnership with Syracuse U,"90 Trinity Place, New York, NY 10006",http://leadershipnyc.org/,,MANHATTAN,9th Grade,12th Grade,685,242,188,137,118,,,76.8%
10457,LEADERSHIP INSTITUTE,,,,,,,,,,,,,,,,Unclear,"1701 FULTON AVENUE, Bronx NY 10457",http://insideschools.org/component/schools/school/1390,,BRONX,9th Grade,12th Grade,227,81,66,61,19,,,95.2%
10023,LIBERATION DIPLOMA PLUS,,,,,,,,,,,,,,,,"Very small school (10 teachers), for older students ",2865 WEST 19TH ST,http://insideschools.org/component/schools/school/1493?Itemid=64,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,196,44,72,24,56,,,80.1%
11101,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,,,,,,,,,,,,,,,,Unclear; all immigrants/ELL,250 WEST 18TH ST,http://insideschools.org/component/schools/school/1324,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,339,81,101,70,87,,,100.0%
11214,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,,,YES,,,,,,,,,,,,,None; incorporate film into curriculum,"2630 Benson Avenue, Brooklyn, NY 11214",http://lifeacademyhsnyc.org/,,BROOKLYN,9th Grade,12th Grade,260,63,86,66,45,,,88.1%
10128,LIFE SCIENCES SECONDARY SCHOOL,,,,,,,,,,,,,,YES,,None; Science Club; (212) 348-1694,"320 E 96th St, New York, NY 10128",http://www.lifesciencessecondaryschool.org/,,MANHATTAN,6th Grade,12th Grade,658,170,153,161,174,,,75.0%
11106,LONG ISLAND CITY HIGH SCHOOL,,YES,YES,,,,,,,,,,YES,,,Computer Science A course,"14-30 Broadway, Queens NY 11106",http://insideschools.org/component/schools/school/1262,,Queens,9th Grade,12th Grade,2522,688,642,584,608,,,76.4%
10002,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,,,,YES,YES,,,,,YES,,,,,,Designed for students 17-21 years old who have dropped out or fallen behind,"145 STANTON STREET, Manhattan NY 10002",http://insideschools.org/component/schools/school/1322,,MANHATTAN,10th Grade,12th Grade,551,0,216,219,116,,,100.0%
10472,LOWER MANHATTAN ARTS ACADEMY,,,,,,,,,,,,,,,,None,350 GRAND ST,http://insideschools.org/component/schools/school/79,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,362,143,92,75,52,,,100.0%
11206,LYONS COMMUNITY SCHOOL,,,,,,,,,,,,,,,,"None - they do have electives like ""Business & Baking""","223 Graham Avenue, Brooklyn, NY 11206",http://www.lyonscommunityschool.org/,,BROOKLYN,6th Grade,12th Grade,322,97,85,72,68,,,85.5%
10016,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,,,,YES,,,,,,,,,,,,MOUSE;  All ELL students,"111 EAST 33RD STREET, Manhattan NY 10016",http://insideschools.org/component/schools/school/1663,,MANHATTAN,9th Grade,12th Grade,312,82,126,40,64,,,89.1%
10019,MANHATTAN BRIDGES HIGH SCHOOL,,YES,YES,YES,,,,,,,,,,,,MOUSE Squad; Primarily ELL students from Spanish-speaking countries,"525 West 50th Street, New York, NY 10019",http://www.manhattanbridges.org/,,MANHATTAN,9th Grade,12th Grade,552,158,148,138,108,,,100.0%
10011,MANHATTAN BUSINESS ACADEMY,,,YES,,,,,,,,,,,,,Unclear; work with Virtual Enterprises nonprofit to create businesses; ,"351 West 18th Street, New York, NY 10011",http://insideschools.org/component/schools/school/1590,,MANHATTAN,9th Grade,12th Grade,426,133,119,102,72,,,81.9%
10029,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,,,,,,,,,,,,,YES,,,"Technology Department - AP CS, programming, Java, greenfoot","260 PLEASANT AVENUE, Manhattan NY 10029",http://mcsmportal.net/,,MANHATTAN,9th Grade,12th Grade,1588,420,396,371,401,,,81.9%
10472,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,,,,,,,,,,,,,,,,Intro Java course offered;  Daytime/Evening classes for older students,240 2ND AVE,http://insideschools.org/component/schools/school/109,NEW YORK COUNTY,NEW YORK,10th Grade,12th Grade,768,0,254,330,184,,,88.9%
10065,Manhattan International High School,YES,,,,YES,,,,,,,,,,,Current ScriptEd School,"317,E 67th St,New York,NY,10065-6051",http://insideschools.org/component/schools/school/95,,MANHATTAN,9th Grade,12th Grade,331,95,98,67,71,,,100.0%
10455,MANHATTAN THEATRE LAB HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear,122 AMSTERDAM AVE,http://insideschools.org/component/schools/school/213,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,129,2,42,48,37,,,79.1%
10016,MANHATTAN VILLAGE ACADEMY,,,,,,,,,,,,,,,,None,43 WEST 22ND ST,http://insideschools.org/component/schools/school/90,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,414,104,103,88,119,,,74.9%
10463,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,,,,,,,,,,,,,,,,Uses Khan Academy; shares building/resources with 7 other schools; ,"99 TERRACE VIEW AVENUE, Bronx NY 10463",http://marblehillschool.org/,,BRONX,9th Grade,12th Grade,447,122,115,113,97,,,92.4%
10002,MARTA VALLE HIGH SCHOOL,,,,,,,,,,,,,,,,MOUSE Squad,"145 STANTON STREET, Manhattan NY 10002","http://www.martavalle.org/
http://insideschools.org/component/schools/school/27",,MANHATTAN,9th Grade,12th Grade,401,150,109,77,65,,,83.5%
11221,"Math, Engineering, and Science Academy Charter High School",,,,,,,,,,,,,,,YES,Hands on math/science classes,"231 Palmetto Street, Brooklyn 11221",http://insideschools.org/component/schools/school/8298,,BROOKLYN,9th Grade,10th Grade,131,,,,,92.0%,,
11411,"Mathematics, Science Research and Technology Magnet High School",,,,,,,,,,,,,,,,Unclear; strong math and science,"207-01 116th St, Queens NY 11411",http://insideschools.org/component/schools/school/1224,,Queens,9th Grade,12th Grade,416,94,110,96,116,,,81.7%
11212,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,,,,,,,,,,,,,,,,"Transfer school, very small","985 Rockaway Avenue, Brooklyn, NY 11212",http://insideschools.org/component/schools/school/1527?Itemid=64,,BROOKLYN,9th Grade,12th Grade,188,25,54,32,77,,,85.6%
10459,METROPOLITAN HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear,"1180 Rev James A Polite Avenue, Bronx, NY 10459",http://insideschools.org/component/schools/school/569,,BRONX,9th Grade,12th Grade,313,93,90,64,66,,,88.8%
10451,Middle College High School at LaGuardia Community College,,,,,,,,,,,,,,,,None,4535 VAN DAM ST,http://insideschools.org/component/schools/school/1028?Itemid=64,QUEENS COUNTY,LONG ISLAND CITY,9th Grade,12th Grade,495,130,126,114,125,,,100.0%
10456,MILLENNIUM ART ACADEMY,,,,,,,,,,,,,,,,None; arts-focused,1980 LAFAYETTE AVE,http://insideschools.org/component/schools/school/327,BRONX COUNTY,BRONX,9th Grade,12th Grade,496,143,128,130,95,,,100.0%
11101,MONROE ACADEMY FOR VISUAL ARTS AND DESIGN,,,,,,,,,,,,,,,,None,1300 BOYNTON AVE,http://insideschools.org/component/schools/school/581,BRONX COUNTY,BRONX,9th Grade,12th Grade,460,200,136,82,42,,,88.5%
10456,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,,,,,,,,,,,,,,,,Unclear,"1100 Boston Road, Bronx, NY 10456",http://insideschools.org/component/schools/school/574,,BRONX,9th Grade,12th Grade,464,125,141,122,76,,,91.2%
10457,MOTT HALL BRONX HIGH SCHOOL,,,,,,,,,,,,,,,,None; college-going students,"1595 Bathgate Avenue, Bronx, NY 10457",http://insideschools.org/component/schools/school/394,,BRONX,9th Grade,12th Grade,379,103,102,94,80,,,88.9%
10030,MOTT HALL HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear (STEM emphasis?),"6 EDGECOMBE AVENUE, Manhattan NY 10030",http://insideschools.org/component/schools/school/214,,MANHATTAN,9th Grade,12th Grade,425,128,142,68,87,,,89.2%
10026,MOTT HALL V,,,,,,,,,,,,,,,,Unclear,1551 EAST 172ND ST,http://insideschools.org/component/schools/school/561,BRONX COUNTY,BRONX,6th Grade,11th Grade,348,109,103,78,58,,,86.6%
10455,MOTT HAVEN COMMUNITY HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear; new transfer school for older students,455 SOUTHERN BLVD,http://insideschools.org/component/schools/school/8216,,BRONX,9th Grade,11th Grade,202,65,80,57,0,,,100.0%
10455,Mott Haven Village Preparatory High School,,,,,,,,,,,,,,,,None,"701 Saint Anns Avenue, Bronx, NY 10455",http://insideschools.org/component/schools/school/290?Itemid=64,,BRONX,9th Grade,12th Grade,344,92,112,66,74,,,94.5%
11208,MULTICULTURAL HIGH SCHOOL,,,,,YES,,,,,YES,,,,,,None,"999 Jamaica Avenue, Brooklyn, NY 11208",http://insideschools.org/component/schools/school/1485,,BROOKLYN,9th Grade,12th Grade,322,66,78,85,93,,,94.1%
10016,MURRAY HILL ACADEMY,,,,YES,YES,,,,,YES,,,,,,MOUSE/Tech Squad,"111 EAST 33RD STREET, Manhattan NY 10016",http://insideschools.org/component/schools/school/1664,,MANHATTAN,9th Grade,12th Grade,305,70,105,61,69,,,78.7%
11217,NEW DAWN CHARTER HIGH SCHOOL,,,,,,,,,,,,,,,YES,Transfer school; older immigrant students,242 HOYT ST,http://insideschools.org/component/schools/school/8225,,BROOKLYN,9th Grade,12th Grade,232,,,,,,84.0%,
10002,NEW DESIGN HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear; strong design program,"350 GRAND STREET, Manhattan NY 10002",http://www.newdesignhigh.com/,,MANHATTAN,9th Grade,12th Grade,439,118,118,107,96,,,100.0%
10451,NEW EXPLORERS HIGH SCHOOL,,,,,,,,,,,,,,,,None,"730 CONCOURSE VILLAGE WEST, Bronx NY 10451",http://www.mynehs.info/,,BRONX,9th Grade,12th Grade,463,165,136,104,58,,,93.3%
10031,NEW HEIGHTS ACADEMY CHARTER SCHOOL,,,,,,,,,,,,,,,YES,Offers Japanese instruction,"1818 Amsterdam Avenue, Manhattan 10031",http://insideschools.org/component/schools/school/1353,,Manhattan,5th Grade,12th Grade,745*,,,,,95.0%,,
11214,NEW UTRECHT HIGH SCHOOL,,,,,,,,,,,,,,,,None; Multiple career paths,"1601 80 STREET, Brooklyn NY 11214",http://insideschools.org/component/schools/school/863,,BROOKLYN,9th Grade,12th Grade,3362,1163,801,689,709,,,74.2%
10463,NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH and science,,,,,,,,,,,,YES,,,YES,C/I offered;  small classes; longer days,99 Terrace View Ave,http://insideschools.org/component/schools/school/1741,,BRONX,9th Grade,12th Grade,351,,,,,75.0%,,
10456,NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE II,,,,,,,,,,,,,,,YES,"focus on math, science for careers in engineering, medicine, technology","900 TINTON AVENUE, Bronx NY 10456",http://insideschools.org/component/schools/school/8161?Itemid=64,,BRONX,9th Grade,11th Grade,234,,,,,94.0%,,
11235,New Visions Charter High School for Advanced Math and Science III,,,,,,,,,,,,,,,YES,Unclear (math/science focus),"3000 Avenue X, Brooklyn 11235",http://insideschools.org/component/schools/school/8300,,BROOKLYN,9th Grade,10th Grade,128,,,,,88.0%,,
10455,NEW VISIONS CHARTER HIGH SCHOOL FOR HUMANITIES II,,,,,,,,,,,,,,,YES,AP Govt and Psych planned; ,455 SOUTHERN BLVD,http://insideschools.org/component/schools/school/8160?Itemid=64,,BRONX,9th Grade,11th Grade,221,,,,,,82.4%,
10463,NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES,,,,,,,,,,,,,,,YES,"Focus on lit, history, writing, careers in law, teaching, arts","99 Terrace View Ave, Bronx NY 10463",http://insideschools.org/component/schools/school/8160?Itemid=64,,BRONX,9th Grade,12th Grade,337,,,,,75.0%,,
11235,New Visions Charter High School for the Humanities III,,,,,,,,,,,,,,,YES,Unclear,"3000 Avenue X, Brooklyn 11235",http://insideschools.org/component/schools/school/8301,,BROOKLYN,9th Grade,12th Grade,120,,,,,83.0%,,
10466,NEW WORLD HIGH SCHOOL,,,,,,,,,,,,,,,,None; Primarily ELL school; lower than average skills,"921 East 228th Street, Bronx, NY 10466",http://insideschools.org/component/schools/school/530,,BRONX,9th Grade,12th Grade,401,136,113,94,58,,,97.8%
10011,NEW YORK CITY MUSEUM SCHOOL,,,,,,,,,,,,,,,,Unclear; museum-based study units,333 WEST 17 STREET,http://insideschools.org/component/schools/school/67,,MANHATTAN,9th Grade,12th Grade,462,128,127,110,97,,,74.7%
11101,NEWCOMERS HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear,"2801 41st Avenue, Long Island City, NY 11101",http://newcomershs.schoolwires.net/site/default.aspx?PageID=1,,Queens,9th Grade,12th Grade,929,125,336,226,242,,,91.2%
11222,Northside Charter High School,,,,,,,,,,,,,,,YES,Latin all four years,"424 Leonard Street, Brooklyn 11222",http://insideschools.org/component/schools/school/1615,,BROOKLYN,9th Grade,12th Grade,383,,,,,78.0%,,
10454,"NYC CHARTER HS ARCHITECTURE, ENGINEERING, CONSTRUC",,,,,,,,,,,,,,,YES,construction industry-focused,838 BROOK AVE,http://insideschools.org/component/schools/school/1583?Itemid=64,,BRONX,9th Grade,12th Grade,450,,,,,,85.9%,
11236,OLYMPUS ACADEMY,,,,,YES,,,,,,,,,,,Over-age and under-credited students,"755 East 100th Street, Brooklyn, NY 11236",http://www.olympusacademy.org/,,BROOKLYN,9th Grade,12th Grade,192,9,85,72,26,,,75.0%
11235,ORIGINS HIGH SCHOOL,,,,,,,,,,,,,,,,Liberal arts; Gaming Club offered,"3000 Avenue X, Brooklyn 11235",http://insideschools.org/component/schools/school/8240,,BROOKLYN,9th Grade,10th Grade,85,85,0,0,0,,,83.5%
10473,Pablo Neruda Academy for Architecture and World Studies,,,,,,,,,,,,,,,,"None; small classes, offers digital media","1980 Lafayette Avenue, Bronx, NY 10473",http://www.pablonerudaacademy.org/,,BRONX,9th Grade,12th Grade,335,65,85,78,107,,,100.0%
11412,PACE HIGH SCHOOL,,,,,,,,,,,,,,Yes,,Technology Club,100 HESTER ST,http://insideschools.org/component/schools/school/75,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,421,114,118,96,93,,,80.3%
11373,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,,,,,,,,,,,,,,,,All Spanish speakers,"45-10 94th Street, Elmhurst, NY 11373",http://panamericanihs.org/,,Queens,9th Grade,12th Grade,367,104,86,80,97,,,90.5%
10472,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,,,,,,,,,,,,,,,,None; primarily ELL; Part of internationals network for public schools; ,"1300 Boynton Avenue, Bronx, NY 10472",http://insideschools.org/component/schools/school/1504,,BRONX,9th Grade,12th Grade,401,98,79,199,25,,,97.5%
10459,PARK EAST HIGH SCHOOL,,,,,,,,,,,,,,,,None,23034 EAST 105TH ST,http://www.parkeasths.org/site_res_view_template.aspx?id=024e06d0-e3fb-4205-a92d-a2c421019ecc,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,409,132,97,110,70,,,89.2%
11215,PARK SLOPE COLLEGIATE,,,,,,,,,,,,,,,,Unclear; (718) 832-4300,"237 7th Avenue, Brooklyn, NY 11215",http://www.parkslopecollegiate.org/,,BROOKLYN,6th Grade,12th Grade,285,84,110,43,48,,,77.8%
10469,Pathways College Preparatory School: A College Board School,,,,,YES,,,YES,,,,,,,,None,10989 204TH ST,http://insideschools.org/component/schools/school/1220,QUEENS COUNTY,SAINT ALBANS,6th Grade,12th Grade,348,97,87,90,74,,,74.4%
11213,Pathways in Technology Early College High School (P-Tech),,,YES,,YES,,,,,,,,,,,Tech focus,"150 Albany Avenue, Brooklyn, NY 11213",http://insideschools.org/component/schools/school/1724,,BROOKLYN,9th Grade,12th Grade,330,115,120,95,0,,,76.4%
